what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410079833628
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410079835911
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1410079840205
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410079863443
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410079863922
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410079867027
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410079868088
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410079874661
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1410079883804
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1410079884288
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410079891679
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410079898194
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410079900458
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410079901591
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410079915284
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410079927295
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410079948340
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410079955386
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410079961247
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410079967812
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1410080097558
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1410080099151
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410080102176
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410080104872
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080107078
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080115346
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410080122183
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1410080125196
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1410080128270
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410080130334
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080131280
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080138568
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410080167527
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410080172672
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410080174588
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080175952
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080185914
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410080200765
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410080204302
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080206732
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080216307
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1410080230592
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410080232530
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080234049
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080239525
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410080291062
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080293101
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080302169
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410080314231
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080317361
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080329427
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080339635
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080348711
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410080383550
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080384869
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080390742
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410080436413
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080439718
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080447783
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410080511919
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080515116
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080526370
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410080532618
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080534892
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080544417
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1410080589404
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080591027
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1410080598490
